!
!     FILE NAME :  ZMAP_EXAMPLE_GID     
!     FORMATTED FILE CREATION DATE:  
!     FORMATTED FILE CREATION TIME: 
!
!     grid is arranged column by column  with positive y axis down and x axis to the right
!
@EXAMPLE_GRID HEADER                ,      GRID,         5
      15,  0.1000000E+31,            ,      7,      1
     486,    519,   134500.0    ,   255750.0    ,   1534000.    ,   1663500.   
    0.000000    ,   0.000000    ,   0.000000    
@
  -3692.644      -3694.348      -3696.053      -3697.753      -3699.436    
  -3701.096      -3702.735      -3704.358      -3705.969                   
  -3305.753      -3303.824      -3301.897      -3299.966      -3298.036    
  -3296.103      -3294.170      -3292.242      -3290.320      -3288.406    
  -3286.500      -3284.600      -3282.708      -3280.820      -3278.944    
  -3277.071      -3275.209      -3273.354      -3271.508      -3269.667    
  -3267.833      -3266.007      -3264.185      -3262.373      -3260.565    
  -3258.771      -3256.979      -3255.198      -3253.425      -3251.663    
  -3249.908      -3248.156      -3246.416      -3244.687      -3242.965    
  -3241.254      -3239.556      -3237.870      -3236.192      -3234.527    
  -3232.873      -3231.228      -3229.593      -3227.971      -3226.363    
  -3224.765      -3223.175      -3221.600      -3220.037      -3218.487    
  -3216.948      -3215.423      -3213.912      -3212.412      -3210.926    
  -3209.456      -3208.000      -3206.556      -3205.123      -3203.703    
  -3202.300      -3200.911      -3199.539      -3198.176      -3196.830    
  -3195.496      -3194.180      -3192.876      -3191.589      -3190.318    
  -3189.060      -3187.817      -3186.591      -3185.376      -3184.179    
  -3182.996      -3181.832      -3180.685      -3179.550      -3178.432    
  -3177.326      -3176.239      -3175.171      -3174.115      -3173.081    
  -3172.056      -3171.050      -3170.060      -3169.087      -3168.131    
  -3167.186      -3166.260      -3165.348      -3164.453      -3163.571    
  -3162.706      -3161.857      -3161.016      -3160.198      -3159.392    
  -3158.602      -3157.825      -3157.059      -3156.307      -3155.567    
  -3154.836      -3154.115      -3153.406      -3152.707      -3152.015    
  -3151.328      -3150.654      -3149.988      -3149.332      -3148.692    
  -3148.067      -3147.458      -3146.872      -3146.311      -3145.775    
  -3145.271      -3144.794      -3144.348      -3143.934      -3143.532    
  -3143.138      -3142.728      -3142.287      -3141.800      -3141.272    
  -3140.712      -3140.132      -3139.531      -3138.914      -3138.278    
  -3137.637      -3137.012      -3136.413      -3135.846      -3135.312    
  -3134.814      -3134.348      -3133.914      -3133.507      -3133.126    
  -3132.763      -3132.419      -3132.094      -3131.786      -3131.494    
  -3131.224      -3130.969      -3130.733      -3130.512      -3130.315    
  -3130.136      -3129.983      -3129.857      -3129.757      -3129.684    
  -3129.640      -3129.621      -3129.632      -3129.675      -3129.750    
  -3129.852      -3129.986      -3130.156      -3130.360      -3130.595    
  -3130.865      -3131.175      -3131.517      -3131.898      -3132.316    
  -3132.766      -3133.257      -3133.782      -3134.344      -3134.945    
  -3135.584      -3136.260      -3136.978      -3137.733      -3138.527    
  -3139.361      -3140.233      -3141.147      -3142.095      -3143.084    
  -3144.111      -3145.181      -3146.285      -3147.431      -3148.616    
  -3149.843      -3151.107      -3152.408      -3153.750      -3155.125    
  -3156.549      -3158.009      -3159.506      -3161.041      -3162.613    
  -3164.224      -3165.877      -3167.564      -3169.291      -3171.058    
  -3172.862      -3174.705      -3176.586      -3178.504      -3180.462    
  -3182.452      -3184.478      -3186.541      -3188.637      -3190.771    
  -3192.935      -3195.128      -3197.346      -3199.594      -3201.866    
  -3204.169      -3206.495      -3208.837      -3211.197      -3213.567    
  -3215.948      -3218.339      -3220.732      -3223.128      -3225.514    
  -3227.891      -3230.255      -3232.601      -3234.925      -3237.224    
  -3239.497      -3241.744      -3243.964      -3246.162      -3248.341    
  -3250.507      -3252.668      -3254.834      -3257.015      -3259.220    
  -3261.460      -3263.746      -3266.080      -3268.453      -3270.842    
  -3273.210      -3275.524      -3277.766      -3279.967      -3282.175    
  -3284.426      -3286.675      -3288.875      -3290.995      -3293.056    
  -3295.098      -3297.149      -3299.230      -3301.354      -3303.510    
  -3305.688      -3307.878      -3310.070      -3312.255      -3314.422    
  -3316.560      -3318.666      -3320.730      -3322.755      -3324.736    
